# MODIS Aqua GEOGRAPHIC METADATA TEXT FILE day 2024-03-26
# NFiles = 212, max geo IngestTime = 2024-03-26 19:56:50.101946
# GranuleID,StartDateTime,ArchiveSet,OrbitNumber,DayNightFlag,EastBoundingCoord,NorthBoundingCoord,SouthBoundingCoord,WestBoundingCoord,GRingLongitude1,GRingLongitude2,GRingLongitude3,GRingLongitude4,GRingLatitude1,GRingLatitude2,GRingLatitude3,GRingLatitude4
MYD03.A2024086.0000.061.2024086015812.NRT.hdf,2024-03-26 00:00,61,116502,N,78.0349951369982,72.786158979364,49.8795640838026,22.486046843222,21.4998164578067,78.0367716074277,57.6004800224107,23.5727296878856,72.684954591513,64.4940815343609,49.6970452882657,54.4059275999585
MYD03.A2024086.0005.061.2024086015434.NRT.hdf,2024-03-26 00:05,61,116502,N,57.0617897272667,54.8577451363521,33.1977018355446,21.8858152732256,23.1431037010051,57.0634017767746,47.2751554645973,21.8704611194731,54.8711683125797,49.9433559269876,33.0873614481563,36.5634584701425
MYD03.A2024086.0010.061.2024086015428.NRT.hdf,2024-03-26 00:10,61,116502,N,46.8478918874265,36.9239867903319,15.7350907289307,19.277760992492,21.6713444145005,46.872735797398,40.9243826987826,19.2535046579549,36.9522359702165,33.2551446569189,15.6873762909869,18.7079915414198
MYD03.A2024086.0015.061.2024086015503.NRT.hdf,2024-03-26 00:15,61,116502,N,40.6924391488072,18.958642335543,-2.04258905957039,15.8654812617962,19.1502937699599,40.6984197535254,36.4386116960111,15.8510458294029,18.9887527359127,15.804138452492,-2.05723371735282,0.931094469188002
MYD03.A2024086.0020.061.2024086015633.NRT.hdf,2024-03-26 00:20,61,116502,N,36.3425345730877,1.0498331110844,-19.9531468663982,11.352928590885,15.7988403359522,36.4386686932932,33.054866402782,11.3462365877199,1.07980870956284,-1.98356451482892,-20.0429379380494,-16.751873974803
MYD03.A2024086.0025.061.2024086015314.NRT.hdf,2024-03-26 00:25,61,116502,N,33.0742124913123,-16.6822049294824,-37.9668365178251,4.88422232092364,11.3699238117477,33.3740719744252,30.6036739814684,4.8704012124624,-16.6635341551132,-19.9059492213731,-38.1859702780367,-34.1800473855297
MYD03.A2024086.0030.061.2024086015337.NRT.hdf,2024-03-26 00:30,61,116502,N,30.6424394515017,-34.1131654224597,-55.83169438831,-5.76213579702305,4.91286932714084,31.1073054990714,29.2164951977221,-5.91947476099087,-34.1011284860391,-37.9061226972421,-56.1631438712368,-50.639256742089
MYD03.A2024086.0035.061.2024086015551.NRT.hdf,2024-03-26 00:35,61,116502,N,30.9921451431786,-50.6220723939617,-73.6837650930628,-27.697249701772,-5.70730229270582,29.8806312932002,31.0474387181326,-28.044562649414,-50.6152099959857,-55.7440219808939,-73.9797721726092,-64.6991044502677
MYD03.A2024086.0040.061.2024086020609.NRT.hdf,2024-03-26 00:40,61,116502,N,180,-64.8240351974457,-89.9907319994172,-180,-27.5518918648121,32.283283753191,149.218830444159,-74.6281761471307,-64.8191725802341,-73.4395432576518,-86.8659783477292,-70.5648577536318
MYD03.A2024086.0045.061.2024086020413.NRT.hdf,2024-03-26 00:45,61,116502,B,-74.4954526236128,-62.7638923131224,-88.5081944227905,140.825711230718,-74.4922792235249,137.279044311021,-169.953683732691,-116.759273309079,-70.9168805020198,-86.8115955495562,-70.0624014355283,-62.4741578784482
MYD03.A2024086.0050.061.2024086015924.NRT.hdf,2024-03-26 00:50,61,116502,D,-117.336868782382,-47.9562854405613,-70.6490775662842,-170.169480346103,-117.335194208611,-170.863610251133,-169.260484055586,-135.871867968247,-62.8209937443373,-70.5532812565896,-52.3403890164866,-47.7610970221686
MYD03.A2024086.0055.061.2024086015408.NRT.hdf,2024-03-26 00:55,61,116502,D,-136.463186992406,-31.2446336423638,-52.7952551455536,-170.894440003831,-136.461113841482,-169.5207042919,-170.911764571518,-145.652270648678,-48.0262664877946,-52.8098491098087,-34.5518915066462,-31.1252378524756
MYD03.A2024086.0100.061.2024086015436.NRT.hdf,2024-03-26 01:00,61,116502,D,-146.126006056465,-13.8042367020536,-34.9109281120445,-173.475947322044,-146.121683341084,-170.987072898413,-173.499459990781,-151.822184547134,-31.315115177471,-34.932948364118,-16.7368247957959,-13.741435586186
MYD03.A2024086.0105.061.2024086015638.NRT.hdf,2024-03-26 01:05,61,116503,D,-152.144683478314,3.97692459759648,-16.9738432053097,-176.889192436834,-152.138938288861,-173.485996845829,-176.900358798817,-156.269131348579,-13.8765660826567,-16.9945959656208,1.03673636770296,3.99987733823857
MYD03.A2024086.0110.061.2024086015423.NRT.hdf,2024-03-26 01:10,61,116503,D,-156.435079602609,21.9141026305829,0.935312137838243,178.537302091163,-156.413245730952,-176.882195519626,178.490264064971,-159.728295435426,3.90895030117918,0.917015657099706,18.7456996224206,22.0182468663034
MYD03.A2024086.0115.061.2024086032743.NRT.hdf,2024-03-26 01:15,61,116503,D,-159.706386498387,39.8853615107551,18.6852562942157,171.889349214173,-159.500688875195,178.555191315684,171.759460190963,-162.226708904672,21.8567675867711,18.6697095075186,36.0891130736251,40.1159211551978
MYD03.A2024086.0120.061.2024086032723.NRT.hdf,2024-03-26 01:20,61,116503,D,-162.190729753446,57.9095718451959,36.0563763549613,160.506174438212,-161.774393321921,171.914896329252,160.232673208727,-163.670223138393,39.8251985207901,36.0449742220553,52.592617326447,58.2458415646824
MYD03.A2024086.0125.061.2024086034151.NRT.hdf,2024-03-26 01:25,61,116503,D,-161.319353620803,75.8500619605084,52.6232851354039,136.18121824991,-162.925010614878,160.561242149381,135.75004914975,-161.234716340491,57.8258247830713,52.6171777854833,66.2832325198747,76.1370451742573
